ironbow,white_hot,black_hot,rainbow,hog,mellow_yellow
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff0027ff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff0023ff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff001fff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff001bff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff0017ff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff0013ff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff000fff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff000bff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff0007ff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff0003ff,0xff0c10fa,0xff88e1e7
